Date Released,Song Title,Artist(s),Target(s),Year Released,lyrics
10-Mar-17,"""No Frauds""","Nicki Minaj, Drake, Lil Wayne",Remy Ma,2017,
19-May-17,"""Swish Swish""",Katy Perry feat Nicki Minaj,Taylor Swift and Remy Ma,2017,
24-Aug-17,"""Look What You Made Me Do""",Taylor Swift,"Kanye West, Kim Kardashian, and Katy Perry",2017,"I don't like your little games
Don't like your tilted stage
The role you made me play
Of the fool, no, I don't like you
I don't like your perfect crime

How you laugh when you lie

You said the gun was mine

Isn't cool, no, I don't like you (oh!)



But I got smarter, I got harder in the nick of time

Honey, I rose up from the dead, I do it all the time

I've got a list of names and yours is in red, underlined

I check it once, then I check it twice, oh!



Ooh, look what you made me do

Look what you made me do

Look what you just made me do

Look what you just made me, ooh

Look what you made me do

Look what you made me do

Look what you just made me do

Look what you just made me do



I don't like your kingdom keys

They once belonged to me

You asked me for a place to sleep

Locked me out and threw a feast (what?)



The world moves on, another day, another drama, drama

But not for me, not for me, all I think about is karma

And then the world moves on, but one thing's for sure

Maybe I got mine, but you'll all get yours



But I got smarter, I got harder in the nick of time

Honey, I rose up from the dead, I do it all the time

I've got a list of names and yours is in red, underlined

I check it once, then I check it twice, oh!



Ooh, look what you made me do

Look what you made me do

Look what you just made me do

Look what you just made me, ooh

Look what you made me do

Look what you made me do

Look what you just made me do

Look what you just made me do



I don't trust nobody and nobody trusts me

I'll be the actress starring in your bad dreams

I don't trust nobody and nobody trusts me

I'll be the actress starring in your bad dreams

I don't trust nobody and nobody trusts me

I'll be the actress starring in your bad dreams

I don't trust nobody and nobody trusts me

I'll be the actress starring in your bad dreams



(Look what you made me do...)



""I'm sorry, the old Taylor can't come to the phone right now.""

""Why?""

""Oh, 'cause she's dead!"" (ohh!)



Ooh, look what you made me do

Look what you made me do

Look what you just made me do

Look what you just made me, ooh

Look what you made me do

Look what you made me do

Look what you just made me do

Look what you just made me do



Ooh, look what you made me do

Look what you made me do

Look what you just made me do

Look what you just made me, ooh

Look what you made me do

Look what you made me do

Look what you just made me do

Look what you just made me do"
1-Sep-17,"""How Do You Sleep?""",LCD Soundsystem,Tim Goldsworthy,2017,"Standing on the shore, facing east
I can't feel you
Standing on the shore, facing east
Your impermanence
You're taking water

Listing lazily out of view



I remember when we were friends

I remember calling you friend



Standing on the shore my ear aimed east

I can't hear you

I can't hear you anymore

I can't hear you

I can't hear you anymore



I still remember

Laughing and fighting

I still remember



Standing on the shore, watching for you

You're painted into a corner

Whatever fits in your pockets; you'll get your due

Just like before

With all the others



You warned me about the cocaine

Then dove straight in

Yeah, you warned me about the cocaine

Then dove straight in



In hiding, where there's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you

There's more for you



Standing on the shore, getting off

You left me here amid the vape clouds

I must admit I missed the mountain

But not so much you



One step forward

One step forward

One step forward

And six steps back

And six steps back

And six steps back

And six steps back

And six steps back

And six steps back

And six steps back

And six steps back



Standing on the floor, facing you

I can't see you, your impermanence

This place is empty

Empty of you



And if I see you, it's like nothing went wrong

Yeah, if we meet again tomorrow, just like nothing went wrong But there I go



Erasing our chances

Just by asking

""How do you sleep?""



One step forward

One step forward

One step forward

And six steps back

And six steps back

And six steps back

And six steps back

And six steps back

And six steps back

And six steps back

And six steps back"
22-Dec-17,"""Piggyback""",Melanie Martinez,Timothy Heller,2017,"I was three years old
All I wanted was the music and
My parents were doing everything they could
To move away from our place working over time always
While I sat up in my grandma's project building coloring, oh

Moved to a small town and started to, started to grow

Poetry written, I'm singing and dancing, oh

Photographs, painting, cartoons

That's all I know

That's all I know, oh



I have one best friend to this very fucking day

Since we were five years old and I fucking moved away

I wish I never did cause she's the only one who sees me

For who I really am instead of how many I reach, oh



Trusted too many fake people while I was still young

Gave them the benefit of the doubt, I was so wrong

I cut them off and they came for blood cause they know

They ain't getting no more



I'm so done with playing piggy back, oh

Swear to god I wished y'all all the best, oh

You're lying your way to try to gain a piece of me

When you could never come close cause I know my destiny

I worked hard for my shit

Put my love in this shit

Now you're trying to kill my name for some fame

What is this?

Tried to help you do your shit

Encouraged you to work on it

Was a good friend and you used that to your advantage



Now I'm 22 and I've had a crazy year of

Isolation from all the plastic people here

I cannot wait for the day

I can finally move away

Back to New York City where the realest people really stay, oh



Spent this whole time writing away my heart and my soul

The people I surround myself with have hearts filled with gold

Love and empathy are things that we hold so close

Trying to learn and evolve



I'm so done with playing piggy back, oh

Swear to god I wished y'all all the best, oh

You're lying your way to try to gain a piece of me

When you could never come close cause I know my destiny

I worked hard for my shit

Put my love in this shit

Now you're trying to kill my name for some fame

What is this?

Tried to help you do your shit

Encouraged you to work on it

Was a good friend and you used that to your advantage



I'm so done with playing piggy back, oh

Swear to god I wished y'all all the best, oh

You're lying your way to try to gain a piece of me

When you could never come close cause I know my destiny"
13-Feb-18,"""Mia Khalifa""",iLoveFriday,Mia Khalifa,2018,"X-X-X-Xeno Carr!
Who do you think you are?
You were sucking dick for a foreign car
Gotta take that call
They want you at work so, girl, go do your job

Mia Khalifa (Mia!)

Mia Khalifa (Mia!)

Mia Khalifa (Mia!)

Mia Khalifa (Mia!)

Mia Khalifa (Mia!)

Mia Khalifa (Mia!)

Mia Khalifa (Mia!)



We all have regrets sometimes

We wish to go back in time

(Body, body, body, body) That's a lot of lives

(Video, video) That's a lot of guys, damn

Don't you wish you changed your past?

Cause it's so bad

Don't you wish you changed your past?

Cause it's so bad

Mia Khalifa

Is that why you tried to quit three times?

Is that why you said good bye, retired

Is that why you said fuck these guys?



Who do you think you are?

You were sucking dick for a foreign car

Gotta take that call

They want you at work so, girl, go do your job

Mia Khalifa (Mia!)

Mia Khalifa (Mia!)

Mia Khalifa (Mia!)

Mia Khalifa (Mia!)

Mia Khalifa (Mia!)

Mia Khalifa (Mia!)

Mia Khalifa (Mia!)

Fight!



Hit or miss

I guess they never miss, huh?

You got a boyfriend, I bet he doesn't kiss ya

He gon' find another girl and he won't miss ya

He gon' skrrt and hit the dab like Wiz Khalifa

You play with them balls like it’s FIFA

You on every level, you’re the leader, ooh

You used to work at Whataburger

Now you pop your pussy for the Warner Brothers

(And that bangs, bro)

Shots fired, you’re fired

You’re washed up, you’re retired

Your kitty looks like a flat tire (Eww!)

I bet that your kitty real tired

Perfect!



Who do you think you are?

You were sucking dick for a foreign car

Gotta take that call

They want you at work so, girl, go do your job

(Mia!) (Mia!) (Mia!)

(Mia!) (Mia!) (Mia!)



*You win!*"
25-May-18,"""Infrared""",Pusha T,"Drake, Lil Wayne and Birdman",2018,"The game's fucked up
Niggas beats is bangin’, nigga, ya hooks did it
The lyric pennin' equal the Trumps winnin'
The bigger question is how the Russians did it
It was written like Nas but it came from Quentin
At the mercy of a game where the culture’s missing

When the CEO's blinded by the glow, it's different

Believe in myself and the Coles and Kendricks

Let the sock puppets play in their roles and gimmicks, shit

Remember Will Smith won the first Grammy?

And they ain't even recognize Hov until ""Annie""

So I don't tap dance for the crackers and sing Mammy

'Cause I'm posed to juggle these flows and nose candy (yugh) Ferrari, my 40th, blew the candles out

Tom Brady'ed you niggas, I had to scramble out

They be ridin’ these waves, I pull my sandals out

Jefe Latin my Grammy, I went the Spanish route

Oh now it’s okay to kill Baby

Niggas looked at me crazy like I really killed a baby

Salute Ross 'cause the message was pure

He see what I see when you see Wayne on tour

Flash without the fire

Another multi-platinum rapper trapped and can’t retire

Niggas get exposed, I see the cracks and I'm the liar?

Shit I've been exposed, I took the crack and built the wire

Now who do you admire? Your rap songs is all tryin' my patience

Them prices ain’t real without inflation

I done flew it, I done grew it, been a conduit

Moynat bags on my bitches, I done blew it

See through it, neck, igloo it

Habla en español, I y tu it

Let Steven talk streamin' and Shazam numbers

I'll ensure you gettin' every gram from us

Let's cram numbers, easily

The only rapper sold more dope than me was Eazy-E

How could you ever right these wrongs

When you don't even write your songs?

But let us all play along

We all know what niggas for real been waitin' on, Push"
25-May-18,"""Duppy Freestyle""",Drake,Pusha T and Kanye West,2018,
29-May-18,"""The Story of Adidon""",Pusha T,Drake,2018,"Easy money
It's about to be a surgical summer
Chop the tops off the coupes
The cuatrocientos ochenta y ocho
The Spider joint
And you know we gotta cut the heads off these snakes, right?

Watch the body drop



Drug dealin' aside, ghostwritin' aside

Let's have a heart-to-heart about your pride

Even though you're multi, I see that your soul don't look alive

The M's count different when Baby divides the pie, wait

Let's examine why

Your music for the past few years been angry and full of lies

I'll start it at the home front, ""I'm on One""

Dennis Graham stay off the gram, bitch, I'm on one

You mention wedding ring like it's a bad thing

Your father walked away at five, hell of a dad thing

Marriage is somethin' that Sandi never had, Drake

How you a winner, but she keep comin' in last place?

Monkey-suit Dennis, you parade him

A Steve Harvey-suit nigga made him

Confused, always thought you weren't Black enough

Afraid to grow it 'cause your 'fro wouldn't nap enough

Since you name-dropped my fiancée

Let 'em know who you chose as your Beyoncé

Sophie knows better, ask your baby mother

Cleaned her up for IG, but the stench is on her

A baby's involved, it's deeper than rap

We talkin' character, let me keep with the facts

You are hiding a child, let that boy come home

Deadbeat mothafucka, playin' border patrol, ooh

Adonis is your son

And he deserves more than an Adidas press run, that's real

Love that baby, respect that girl

Forget she's a pornstar, let her be your world, yuugh!

How dare you put Ye in my verses?

I'm selfish, I want all of the curses

I'm pre-bookin' the churches

Me versus three hearses

If we all go to Hell it'll be worth it

Already aligned with the greats, and on that same note

The only ones I chase are two ghosts

Still givin' you classics, that's the only thing that dates me

OVO 40, hunched over like he 80, tick, tick, tick

How much time he got? That man is sick, sick, sick

I got the devil flow, nigga, six, six, six

Surgical summer with it, snip, snip, snip

And you don't really want it with him



Surgical Summer, Volume 1

We gon' take this slow

We just gon' peel it back layer-by-layer

Yeah, DAYTONA

Album of the motherfuckin' year

And you talkin' 'bout you upset

Hahahahaha

Well I wanna see what it's like when you get angry, okay?

You show me that

Push!"
1-Jun-18,"""I Kill People""",Trippie Redd feat. Chief Keef and Tadoe,6ix9ine,2018,
31-Aug-18,"""Not Alike""","Eminem feat. Royce da 5'9""",Machine Gun Kelly,2018,
31-Aug-18,"""Bad Boy""",G-Eazy,Machine Gun Kelly,2018,
3-Sep-18,"""Rap Devil""",Machine Gun Kelly,Eminem,2018,"Oh my god, Ronny
Ayy, somebody grab him some clippers (Zzz)
His fucking beard is weird
Tough talk from a rapper paying millions for security a year
""I think my dad's gone crazy,"" yeah, Hailie, you right

Dad's always mad cooped up in the studio, yelling at the mic

You're sober and bored, huh (I know)

About to be 46 years old, dog

Talkin' 'bout ""I'ma call up Trick Trick""

Man, you sound like a bitch, bitch

Man up and handle your shit (ugh)

Mad about something I said in 2012

Took you six years and a surprise album just to come with a diss

Homie we get it, we know that you're the greatest rapper alive

Fucking dweeb, all you do is read the dictionary and stay inside

Fuck Rap God, I'm the Rap Devil

Coming bare-faced with a black shovel

Like the Armageddon when the smoke settle

His body next to this instrumental

I'm saying



I'm sick of them sweatsuits and them corny hats, let's talk about it

I'm sick of you being rich and you still mad, let's talk about it

Both of us single dads from the Midwest, we can talk about it

Or we could get gully I'll size up your body and put some white chalk around it



Let's talk about the fact you actually blackballed a rapper that's twice as young as you (let's talk about it)

Let's call Sway, ask why I can't go on Shade 45 because of you (brrt)

Let's ask Interscope how you had Paul Rosenberg trying to shelf me (huh?)

Still can't cover up the fact your last four albums is as bad as your selfie

Now tell me, what do you stand for? (What?)

I know you can't stand yourself (no)

Trying to be the old you so bad you Stan yourself (ha)

Let's leave all the beefing to 50 (please)

Em you're pushing 50

Why you claiming that I'ma call Puff?

When you the one that called Diddy (facts)

Then you went and called Jimmy (facts)

They conference called me in the morning (what?)

They told me you mad about a tweet

You wanted me to say sorry (what?)

I swear to God I ain't believe him (nah)

Please say it ain't so (no)

The big bad bully of the rap game can't take a fucking joke

Oh you want some fucking smoke (what?)

But not literally, you'll choke

Yeah I'll acknowledge you're the GOAT

But I'm The Gunner, bitch, I got you in the scope (brra)

Don't have a heart attack now (no)

Somebody help your mans up (help)

Knees weak of old age

The real Slim Shady can't stand up



I'm sick of them sweatsuits and them corny hats, let's talk about it

I'm sick of you being rich and you still mad, let's talk about it

Both of us single dads from the Midwest, we can talk about it

Or we could get gully I'll size up your body and put some white chalk around it



Hello Marshall, my name's Colson

You should go back to Recovery

I know your ego is hurting just knowing that all of your fans discovered me (hi)

He like ""Damn, he a younger me

Except he dresses better and I'm ugly

Always making fun of me""

Stop all the thuggery Marshall, you living in luxury (damn)

Look what you done to me, dropped an album just because of me

Damn, you in love with me

You got money but I'm hungry

I like the diss but you won't say those lyrics out in front of me

Shout out to every rapper that's up under me

Know that I'll never do you like this fuckery

Still bitter after everyone loves you

Pull that wedgie out your dungarees (hey)

I gotta respect the OGs and I know most of 'em personally (ayy)

But you're just a bully acting like a baby so I gotta read you a nursery (nursery)

I'm the ghost of the future and you're just Ebenezer Scrooge (facts)

I said on Flex, anyone could get it

I ain't know it would be you



I'm sick of them sweatsuits and them corny hats, let's talk about it

I'm sick of you being rich and you still mad, let's talk about it

Both of us single dads from the Midwest, we can talk about it

Or we could get gully I'll size up your body and put some white chalk around it



Riding shotty 'cause I gotta roll this dope

It's a fast road when your idols become your rivals, yeah

Never hesitate to say it to your face, I'm an asshole

Bitch ass motherfucker

Oh my god, Ronny



We know you get nervous, Rabbit

I see momma's spaghetti all over your sweater

I wish you would lose yourself on the record that you made a decade ago, they were better

According to them you're a national treasure

To me you're as soft as a feather

The type to be scared to ask Rihanna for her number, just hold her umbrella-ella-ella

""I'm not afraid,"" okay Oscar the Grouch, chill on the couch (fuck)

You got an Oscar, damn can anyone else get some food in their mouth? (For real)

They made a movie about you, you're in everybody's top ten

You're not getting better with time

It's fine Eminem, put down the pen

Or write an apology about the simple fact you had to write a diss to acknowledge me

I am the prodigy, how could I even look up to you

You ain't as tall as me

5'8"" and I'm 6'4""

Seven punches hold your head still

Last time you saw 8 Mile was at home on a treadmill

You were named after a candy

I was named after a gangster (brr)

And don't be a sucker and take my verse off of Yelawolf's album, thank you (thank you)

I just wanna feed my daughter

You tried to stop the money to support her

You the one always talk about the action

Text me the addy, I'm pulling up scrappy

And I'm by fucking myself, what's happenin'?

EST captain, salute me or shoot me

That's what he's gonna have to do to me when he realizes there ain't shit he could do to me

Everybody always hated me, this isn't anything new to me

Yeah there's a difference between us, I got all of my shit without Dre producing me (ayy)

I know you're not used to me

Usually one of your disses should ruin me

But bitch I'm from Cleveland, everybody quiet this evening, I'm reading the eulogy (shh)

Dropped an album called Kamikaze, so that means it killed him

Already fucked one rapper's girl this week, don't make me call Kim



I'm sick of them sweatsuits and them corny hats, let's talk about it

I'm sick of you being rich and you still mad, let's talk about it

Both of us single dads from the Midwest, we can talk about it

Or we could get gully I'll size up your body and put some white chalk around it"
14-Sep-18,"""Killshot""",Eminem,"Machine Gun Kelly, P. Diddy",2018,"You sound like a bitch, bitch
Shut the fuck up
Your fans become your haters
You done?
Fuck, your beard's weird
Alright

You yellin' at the mic, you weird beard

We doin' this once

Your beard's weird, why you yellin' at the mic?



Rihanna just hit me on the text

Last night I left hickeys on her neck

Wait, you just dissed me, I'm perplexed

Insult me in a line, compliment me on the next, damn

I'm really sorry you want me to have a heart attack

Was watchin' 8 Mile on my Nordic Track

Realized I forgot to call you back

Here's that autograph for your daughter, I wrote it on a Starter cap

Stan, Stan, son, listen, man, dad isn't mad

But how you gonna name yourself after a damn gun and have a man bun?

The giant's woke, eyes open, undeniable

Supplyin' smoke, got the fire stoked

Say you got me in a scope, but you grazed me

I say one call to Interscope and you're Swayze

Your reply got the crowd yelling, ""Woo""

So before you die let's see who can out-petty who

With your corny rhymes (Slim you're old)

Ow, Kelly, ooh, but I'm 45 and I'm still outselling you

By 29 I had three albums that had blew

Now let's talk about somethin' I don't really do

Go in someone's daughter's mouth stealin' food

But you're a fuckin' mole hill, now I'ma make a mountain out of you, woo!

Ho, chill, actin' like you put the chrome barrel to my bone marrow

Gun, I bet you ain't a bow and arrow

Say you'll run up on me like a phone bill, sprayin' lead

Playin' dead, that's the only time you hold still

Are you eating cereal... or oatmeal?

What the fuck's in the bowl, milk? Wheaties or Cheerios?

'Cause I'm takin' a shit in 'em, Kelly, I need reading material

...Dictionary...

Yo Slim, your last four albums sucked

Go back to Recovery, oh shoot, that was three albums ago

What do you know? Oops, know your facts before you come at me, lil' goof

Luxury, oh, you broke, bitch?

Yeah, I had enough money in '02

To burn it in front of you, ho

Younger me? No, you're the whack me

It's funny, but so true

I'd rather be 80 year old me than 20 year old you

'Til I'm getting old-aged still can fill a whole page with a 10 year old's rage

Got more fans than you in your own city, lil' kiddy

Go play, feel like I'm babysitting Lil Tay

Got the Diddy okay so you spent your whole day

Shootin' a video just to fuckin' dig your own grave

Got you at your own wake, I'm the billy G.O.A.T.

You ain't never made a list next to no Biggie, no Jay

Next to Taylor Swift, and that Iggy ho, you about to really blow

Kelly, they'll be putting your name

Next to Ja, next to Benzino, die, motherfucker

Like the last motherfucker sayin' Hailie in vain

Alien brain, you Satanist (yeah)

My biggest flops are your greatest hits

The game's mine again and ain't nothin' changed but the locks

So before I slay this bitch, mwah, give Jade a kiss

Gotta wake up Labor Day to this (the fuck?)

Bein' rich, aimed by some prick usin' my name for clickbait

In a state of bliss 'cause I said his goddamn name

Now I gotta cock back, aim, yeah, bitch, pop champagne to this

It's your moment, this is it

As big as you're gonna get, so enjoy it

Had to give you a career to destroy it

Lethal injection, go to sleep six feet deep

I'll give you a B for the effort, but if I was three

Foot 11, you'd look up to me, and for the record

You would suck a dick to fuckin' be me for a second

Lick a ballsack to get on my channel

Give your life to be this solidified

This mothafuckin' shit is like Rambo when he's out of bullets

So what fuckin' good is a machine gun when it's out of ammo?

Had enough of this tatted-up mumble rapper

How the fuck can him and I battle?

He'll have to fuck Kim in my flannel

I'll give him my sandals

'Cause he knows long as I'm Shady, he's gon' have to live in my shadow

Exhausting, letting off on my offspring

Like a gun barrel, bitch, get off me

You dance around it like a sombrero, we can all see

You're fucking salty 'cause young Gerald's balls-deep inside of Halsey

Your red sweater, your black leather

You dress better, I rap better

That a death threat or a love letter?

Little white toothpick

Thinks it's over a pic, I just don't like you, prick

Thanks for dissing me

Now I had an excuse on the mic to write ""Not Alike""

But really, I don't care who's in the right

But you're losin' the fight you picked

Who else want it, Kells?

Attempt fails, button, L's

Fuckin' nails in these coffins as soft as Cottonelle

Killshot, I will not fail, I'm with the Doc still

But this idiot's boss pops pills and tells him he's got skills

But Kells, the day you put out a hit's the day Diddy admits

That he put the hit out that got Pac killed, ah

I'm sick of you bein' whack

And still usin' that mothafuckin' AutoTune, so let's talk about it (let's talk about it)

I'm sick of your mumble rap mouth

Need to get the cock up out it before we can even talk about it (talk about it)

I'm sick of your blonde hair and earrings

Just 'cause you look in the mirror and think you're Marshall Mathers (Marshall Mathers)

Don't mean you are, and you're not about it

So just leave my dick in your mouth, and leave my daughter out it



You fuckin'... oh

And I'm just playin', Diddy, you know I love you"
19-Sep-18,"""Love Tap""",Bizarre,Joe Budden and Jay Electronica,2018,
9-Nov-18,"""Arrest the President""",Ice Cube,Donald Trump,2018,"Yeah
When I drop the mic it hit the floor like Thor (That's right)
You can't pick it up no more (Don't even try)
Y'all know what it is, y'all know what it was (Yeah)
Y'all know what it shall be

Get smart 'fore the shit start

'Fore it get dark, 'fore they hit you with a pitchfork

Better crip walk (Crip walk), this is real talk

Smoke Kush and push then we peel off (Eugh)

Niggas still rollin' with the wheels off (Eugh)

Always lookin' out for the crisscross

I'm a bigger boss than Rick Ross

Always winnin', nigga get lost

It's the warlord, bring the voodoo

When I bail through it's crazy like Bellevue

What they tell you? (Leave that boy alone) Leave that boy alone

Like Home Alone (Yeah), fuck the Skull & Bones

Arrest the president, you got the evidence

That nigga is Russian intelligence (Okay)

When it rains it pours

Did you know the new white was orange?

Boy, you're showing your horns

They're tryin' to replace my halo with thorns

You so basic with your vape stick

Let's go apeshit in the matrix



Arrest the president, arrest the president

Arrest the president, you got the evidence (Nigga)

Arrest the president, arrest the president (Crazy)

Arrest the president, you got the evidence



I took back my ice, in all black tonight

That's right, some niggas gotta sacrifice

Not a criminal (No), I'm a seminal (Yeah)

I was free once, now I'm clinical (Crazy)

You so technical, this was Mexico

Now everywhere I go is owned by Texaco (Fuck them)

Fuck them and the rest of you (Hell yeah)

I turn a fruit into a vegetable (Pop you motherfuckers out)

I'ma roll with the aliens

Man, fuck these homo sapiens

They don't really wanna make friends (Hell no)

All they want is a Mercedes Benz (Hell yeah)

All they want is they dividends

And decibels, fuck these citizens

They'll treat us like hooligans

Throw 'em in, they don't care what school he in

These people don't play fair

It ain't even fair at the state fair

Give a young nigga grey hair

That's why I'm here, make your ass lay there

Punk, you better stay there

Close your fucking eyes like it's day care

Make myself clear, it ain't Shakespeare

I'm here to take money even fake hair

So desperate is what I'm left with

For the record you affected

Who you elected is so septic

So full of shit, I can't accept it



Arrest the president (Woo), arrest the president (Woo)

Arrest the president, you got the evidence (Nigga)

Arrest the president (Nigga), arrest the president (Nigga)

Arrest the president, you got the evidence (Nigga)

Arrest the president (Nigga), arrest the president (Nigga)

Arrest the president, you got the evidence (Nigga)

Arrest the president (Nigga), arrest the president (Nigga)

Arrest the president, you got the evidence



I reside on the Westside (Westside)

I murder with my third eye (Third eye)

Niggas so fly, get a bird's eye (Ahh, ahh)

I make 'em scream bloody murder

Let's meet at the White House (Come on)

Run in and turn the lights out

Man, they treat it like a trap house (Yeah)

These motherfuckers never take the trash out (Damn)

They just cash out and mash out

Nigga take your drugs and pass out (Shut the fuck up)

Niggas love to go that fast route (Yeah)

I see you and your black ass, get out

Homie, you play too much (Yeah)

While these devils, they doin' way too much (Much)

Most of 'em won't sleep too much

Why they're steady planin'? God knows what (God knows what)

That's why I roll with the real ones

Real ones tryin' to reach millions

Real ones tryin' to make billions

Real ones dressed like civilians



Arrest the president, arrest the president

Arrest the president, you got the evidence (Woo)

Arrest the president (Woo), arrest the president (Woo)

Arrest the president, you got the evidence"
"December 9â19, 2019","""The Invitation"" ""Pray For Him"" ""The Invitation Canceled""","Nick Cannon (all) feat. Suge Knight (track one), Hitman Holla, Charlie Clips, Prince Eazy (tracks one and two), Conceited (track two)",Eminem,2019,
9-Jan-20,"""ded sheeran (ed sheeran send) part 1""",Black Midi,Ed Sheeran,2020,
25-Jun-20,"""Had Enough""",G-Eazy,Halsey,2020,
20-Nov-20,"""Shots Fired""",Megan Thee Stallion,Tory Lanez,2020,"Brrt, brrt, baow (Buddah Bless this beat)
Imagine niggas lyin' 'bout shootin' a real bitch (Huh?)
Just to save face for rapper niggas you chill with
Imagine me givin' a fuck it was your fuckin' birthday (Fuck you)
You in your feelings, I just thought it was another Thursday

Now imagine me cockblockin' niggas on some dry shit (What?)

I don't want you on the bench, believe you wouldn't've been invited (You wouldn't've been invited)

And if it weren't for me, same week, you would have been indicted (Should've let them lock your ass up)

You offered M's not to talk, I guess that made my friend excited, hmm

Now y'all in cahoots, huh (Okay), you a puss in boots

You shot a 5'10"" bitch with a .22

Talkin' 'bout bones and tendons like them bullets wasn't pellets

A pussy nigga with a pussy gun in his feelings

Okay, he in the backseat and he keep callin' me a bitch (He a bitch)

We all know the shit I could've came back with (Lil'-ass nigga)

He talkin' 'bout his followers, dollars, and goofy shit

I told him, ""You're not poppin', you just on the remix"" (What's poppin'?)

Now here we are, 2020, eight months later

And we still ain't got no fuckin' justice for Breonna Taylor (Breonna Taylor)

Any nigga on that nigga's side is a clout chaser (Fuck y'all)

A bitch who he fuckin' or a ho that he payin', uh



Imagine me, hahaha

Imagine me entertaining you fuckin' goofy-ass niggas and you fuckin' goofy-ass bitches

Brrt, brrt, blaow (Buddah Bless this beat)



Who you takin' shots at, goofy-ass nigga?

Keep your broke ass out a rich bitch business

And that go for you bitches too that's tryna get picked

Talkin' shit, I'll slide on you, thinkin' that you slick

Ooh shit, it's a lotta weak niggas in this bitch

They confused

They hate me, but watch my videos beatin' they dick

Who a snitch? I ain't never went to the police with no names

I thought a bitch that got her chain snatched, caught a loss had something to say, ayy

I be speakin' facts, uh, they can't handle that, uh

They want me to be the bad guy, let me put my mask on

I was chose, I ain't ask to be this motherfuckin' cold

Still the brightest star and not just the ones that's up in this Rolls

Keep it pimpin' always, actions do the talkin'

I know you want the clout, so I ain't sayin' y'all names

Oh, you out here ballin', huh? Who you get that money from?

Ten toes down for whoever get the Patek, huh?

I be so content 'cause I know I'm a real bitch

And anything I say, I'm never scared to repeat it

You'd think I was a killer how these niggas scared as shit

I pull up one deep, but niggas bring they whole clique, ayy

Who you takin' shots at, goofy-ass bitch?

Watchin' me succeed from your knees, suckin' dick

I know you want attention from the niggas that I get

I'm a steak, you a side plate, shrimp, stay in your place

Real bitch, yeah, yeah, I ain't sellin' fairytales

FaceTime my nigga while my other nigga layin' there

Bitch think she sabotagin' somethin', tryna run and tell

Bitch, I got a bond with my niggas and they all aware, yeah

Who you takin' shots at? Shut up with your scary ass

No profile pic, bitch, your mama shouldn't had

Kick me while I'm down bad, I remember all that

Next nigga send a shot, I'ma sent it right back (Ah)



Brrt, brrt

Brrt, haha

Ah

Should've let them lock your ass up

Pussy"
16-Dec-20,"""How To Rob (Remix)""",CupcakKe,"Migos, Offset, Cardi B, Megan Thee Stallion, DreamDoll, Lizzo, City Girls, 6ix9ine, Chief Keef, Latto, Lil Kim, Young M.A., Flo Milli, G Herbo, Sada Baby, Tory Lanez, and Lil Durk",2020,
5-Feb-21,"""Kill All Rats""",Griselda,6ix9ine,2021,
19-Feb-21,"""ZAZA""",6ix9ine,"Lil Durk, Meek Mill",2021,
3-Sep-21,"""7am On Bridle Path""",Drake,Kanye West,2021,
Sep 2021 (Leaked),"""Life of the Party""",Kanye West feat. AndrÃ© 3000,Drake,ked),
